2022-12-30T00:06:03+01:00, spo: 94, bpm: 66
2022-12-30T00:06:04+01:00, spo: 94, bpm: 67
2022-12-30T00:06:05+01:00, spo: 94, bpm: 67
2022-12-30T00:06:06+01:00, spo: 94, bpm: 67
2022-12-30T00:06:07+01:00, spo: 94, bpm: 68
2022-12-30T00:06:08+01:00, spo: 94, bpm: 68
2022-12-30T00:06:09+01:00, spo: 94, bpm: 68
2022-12-30T00:06:10+01:00, spo: 94, bpm: 67
2022-12-30T00:06:11+01:00, spo: 94, bpm: 67
2022-12-30T00:06:12+01:00, spo: 94, bpm: 67
2022-12-30T00:06:13+01:00, spo: 94, bpm: 67
2022-12-30T00:06:14+01:00, spo: 94, bpm: 67
2022-12-30T00:06:15+01:00, spo: 94, bpm: 66
2022-12-30T00:06:16+01:00, spo: 94, bpm: 66
2022-12-30T00:06:17+01:00, spo: 94, bpm: 66
2022-12-30T00:06:18+01:00, spo: 94, bpm: 66
2022-12-30T00:06:19+01:00, spo: 94, bpm: 66
2022-12-30T00:06:20+01:00, spo: 94, bpm: 66
2022-12-30T00:06:21+01:00, spo: 94, bpm: 66
2022-12-30T00:06:22+01:00, spo: 94, bpm: 66
2022-12-30T00:06:23+01:00, spo: 94, bpm: 66
2022-12-30T00:06:24+01:00, spo: 94, bpm: 66
2022-12-30T00:06:25+01:00, spo: 94, bpm: 65
2022-12-30T00:06:26+01:00, spo: 94, bpm: 65
2022-12-30T00:06:27+01:00, spo: 94, bpm: 64
2022-12-30T00:06:28+01:00, spo: 94, bpm: 64
2022-12-30T00:06:29+01:00, spo: 94, bpm: 64
2022-12-30T00:06:30+01:00, spo: 94, bpm: 64
2022-12-30T00:06:31+01:00, spo: 94, bpm: 65
2022-12-30T00:06:32+01:00, spo: 94, bpm: 65
2022-12-30T00:06:33+01:00, spo: 94, bpm: 66
2022-12-30T00:06:34+01:00, spo: 94, bpm: 67
2022-12-30T00:06:35+01:00, spo: 94, bpm: 67
2022-12-30T00:06:36+01:00, spo: 94, bpm: 67
2022-12-30T00:06:37+01:00, spo: 94, bpm: 68
2022-12-30T00:06:38+01:00, spo: 94, bpm: 68
2022-12-30T00:06:39+01:00, spo: 94, bpm: 69
2022-12-30T00:06:40+01:00, spo: 93, bpm: 69
2022-12-30T00:06:41+01:00, spo: 93, bpm: 69
2022-12-30T00:06:42+01:00, spo: 93, bpm: 68
2022-12-30T00:06:43+01:00, spo: 93, bpm: 68
2022-12-30T00:06:44+01:00, spo: 93, bpm: 67
2022-12-30T00:06:45+01:00, spo: 93, bpm: 67
2022-12-30T00:06:46+01:00, spo: 93, bpm: 66
2022-12-30T00:06:47+01:00, spo: 93, bpm: 65
2022-12-30T00:06:48+01:00, spo: 94, bpm: 64
2022-12-30T00:06:49+01:00, spo: 94, bpm: 64
2022-12-30T00:06:50+01:00, spo: 94, bpm: 64
2022-12-30T00:06:51+01:00, spo: 95, bpm: 64
2022-12-30T00:06:52+01:00, spo: 95, bpm: 64
2022-12-30T00:06:53+01:00, spo: 95, bpm: 64
2022-12-30T00:06:54+01:00, spo: 95, bpm: 64
2022-12-30T00:06:55+01:00, spo: 95, bpm: 64
2022-12-30T00:06:56+01:00, spo: 95, bpm: 63
2022-12-30T00:06:57+01:00, spo: 95, bpm: 63
2022-12-30T00:06:58+01:00, spo: 95, bpm: 63
2022-12-30T00:06:59+01:00, spo: 95, bpm: 63
2022-12-30T00:07:00+01:00, spo: 95, bpm: 63
2022-12-30T00:07:01+01:00, spo: 95, bpm: 63
2022-12-30T00:07:02+01:00, spo: 94, bpm: 64
2022-12-30T00:07:03+01:00, spo: 94, bpm: 65
2022-12-30T00:07:04+01:00, spo: 94, bpm: 65
2022-12-30T00:07:05+01:00, spo: 94, bpm: 66
2022-12-30T00:07:06+01:00, spo: 94, bpm: 66
2022-12-30T00:07:07+01:00, spo: 94, bpm: 66
2022-12-30T00:07:08+01:00, spo: 94, bpm: 66
2022-12-30T00:07:09+01:00, spo: 94, bpm: 66
2022-12-30T00:07:10+01:00, spo: 94, bpm: 67
2022-12-30T00:07:11+01:00, spo: 94, bpm: 67
2022-12-30T00:07:12+01:00, spo: 94, bpm: 67
2022-12-30T00:07:13+01:00, spo: 93, bpm: 67
2022-12-30T00:07:14+01:00, spo: 93, bpm: 67
2022-12-30T00:07:15+01:00, spo: 93, bpm: 67
2022-12-30T00:07:16+01:00, spo: 94, bpm: 67
2022-12-30T00:07:17+01:00, spo: 94, bpm: 67
2022-12-30T00:07:18+01:00, spo: 94, bpm: 66
2022-12-30T00:07:19+01:00, spo: 94, bpm: 66
2022-12-30T00:07:20+01:00, spo: 94, bpm: 66
2022-12-30T00:07:21+01:00, spo: 94, bpm: 66
2022-12-30T00:07:22+01:00, spo: 94, bpm: 65
2022-12-30T00:07:23+01:00, spo: 94, bpm: 65
2022-12-30T00:07:24+01:00, spo: 94, bpm: 64
2022-12-30T00:07:25+01:00, spo: 94, bpm: 64
2022-12-30T00:07:26+01:00, spo: 94, bpm: 63
2022-12-30T00:07:27+01:00, spo: 94, bpm: 63
2022-12-30T00:07:28+01:00, spo: 94, bpm: 62
2022-12-30T00:07:29+01:00, spo: 94, bpm: 62
2022-12-30T00:07:30+01:00, spo: 94, bpm: 62
2022-12-30T00:07:31+01:00, spo: 94, bpm: 62
2022-12-30T00:07:32+01:00, spo: 94, bpm: 63
2022-12-30T00:07:33+01:00, spo: 94, bpm: 64
2022-12-30T00:07:34+01:00, spo: 94, bpm: 66
2022-12-30T00:07:35+01:00, spo: 94, bpm: 66
2022-12-30T00:07:36+01:00, spo: 94, bpm: 67
2022-12-30T00:07:37+01:00, spo: 94, bpm: 67
2022-12-30T00:07:38+01:00, spo: 94, bpm: 67
2022-12-30T00:07:39+01:00, spo: 94, bpm: 66
2022-12-30T00:07:40+01:00, spo: 94, bpm: 66
2022-12-30T00:07:41+01:00, spo: 94, bpm: 66
2022-12-30T00:07:42+01:00, spo: 94, bpm: 66
2022-12-30T00:07:43+01:00, spo: 94, bpm: 66
2022-12-30T00:07:44+01:00, spo: 94, bpm: 66
2022-12-30T00:07:45+01:00, spo: 94, bpm: 66
